#Target Vertices,#Query Vertices,MSEC,STDEV
5000,10000,41.0813278,87.14083145933827
5500,500,15.3903624,25.18610330060809
5500,1000,20.915509800000002,34.988293161815534
5500,1500,27.176071,45.78518920434684
5500,2000,37.264613600000004,63.77778259478981
5500,2500,40.2280891,70.01813470852898
5500,3000,43.5126659,75.351807239415
5500,3500,51.2174226,88.69038230691217
5500,4000,57.1154761,99.26895390605229
5500,4500,63.6966107,110.90336730795627
5500,5000,77.21055559999999,130.71795970701044
5500,5500,78.6080062,136.1172915381365
5500,6000,86.87733659999999,151.68371205921545
5500,6500,101.338693,172.07517226027412
5500,7000,106.1787726,185.5989363131002
5500,7500,112.779276,196.19434042433875
5500,8000,122.3772427,210.2534872150215
5500,8500,133.4892437,228.78966239497987
5500,9000,146.88806380000003,251.17741452676745
5500,9500,150.5374762,258.78238107295846
5500,10000,167.0337065,287.8591703833697
6000,500,22.0197012,23.210754557261765
6000,1000,22.8213838,24.09486860043112
6000,1500,25.0797089,26.51080994855842
6000,2000,30.1923132,32.78242748331749
6000,2500,28.4101928,30.379589815916496
6000,3000,28.268188100000003,30.00674271317152
6000,3500,34.0477646,36.62072124613477
6000,4000,33.1701288,35.27761692884259
6000,4500,36.508155200000004,38.97057315928317
6000,5000,38.9142894,41.45195798880583
6000,5500,43.3721199,46.269647928796665
6000,6000,48.2243978,51.49345392863592
6000,6500,54.5026825,58.44024054983364
6000,7000,57.696966,61.72416047054823
6000,7500,62.5175526,66.73708133005029
6000,8000,73.9148047,79.15885078074972
6000,8500,79.5357703,85.10054579342106
6000,9000,87.6789569,93.2471720103561
6000,9500,102.2752415,109.1599044306384
6000,10000,108.03060740000001,114.87351478324865
6500,500,38.4863819,35.10751700025778
6500,1000,45.6891404,45.67276454367932
6500,1500,54.5562871,59.19886746838019
6500,2000,62.2147334,71.67902971876545
6500,2500,74.74507440000001,91.50030319839769
6500,3000,79.73035540000001,99.90018826139094
6500,3500,89.1024805,113.44696190937027
6500,4000,98.8070673,129.08444072209426
6500,4500,107.9370857,142.15362175126685
6500,5000,118.8003999,156.9406471301662
6500,5500,138.2516938,192.54977591827796
6500,6000,152.1208211,213.86430962509792
6500,6500,167.91633919999998,215.9808541596959
6500,7000,178.8622801,231.9897389221584
6500,7500,188.76821869999998,251.54820849470173
6500,8000,200.33106519999998,260.70932832274303
6500,8500,228.5822124,297.98154246069623
6500,9000,226.6737621,290.87912610446733
6500,9500,251.71960719999998,318.69887233395497
6500,10000,275.0162334,338.39627139120444
7000,500,63.9468496,39.05455202898773
7000,1000,84.42281220000001,58.84275515526559
7000,1500,89.87036140000001,69.31355660491634
7000,2000,99.651553,87.86785699847617
7000,2500,116.95787729999999,105.71128148851915
7000,3000,137.0591333,128.06882575268727
7000,3500,146.7559913,146.78650925545628
7000,4000,159.07889690000002,162.3933037735213
7000,4500,186.04743919999999,183.857609713452
7000,5000,190.29963469999998,198.92785244040803
7000,5500,218.9553171,230.3547089842813
7000,6000,224.10718590000002,238.84518780351254
7000,6500,253.93919530000002,265.22370454864284
7000,7000,276.0171883,287.84643520985793
7000,7500,296.9895934,319.5118795739846
7000,8000,329.72641369999997,336.7314131154062
7000,8500,344.80731430000003,347.88824539490247
7000,9000,372.055955,366.1062134617043
7000,9500,409.69248139999996,370.7380298459899
7000,10000,418.41765460000005,420.08967803892995
7500,500,57.4502658,52.03138806395979
7500,1000,69.9257912,68.57694567522529
7500,1500,81.907544,85.01633100384898
7500,2000,93.997934,102.62779996391146
7500,2500,107.1630903,122.32734765398978
7500,3000,127.08968879999999,143.73533466355454
7500,3500,133.83362440000002,161.00582303729172
7500,4000,148.8852553,181.85052523245255
7500,4500,165.4339106,205.18481039830675
7500,5000,180.0770023,224.78850140946844
7500,5500,195.35990669999998,244.1117470160801
7500,6000,214.4422986,269.298187456698
7500,6500,229.6545576,290.9444410012358
7500,7000,248.5638746,315.1888436958944
7500,7500,275.0211066,343.6893226840867
7500,8000,289.4599911,363.42245013994295
7500,8500,305.58939860000004,381.6347227717773
7500,9000,331.2870998,410.6635932695664
7500,9500,351.4469272,432.5170113577298
7500,10000,370.703077,453.0293279866224
8000,500,78.02564690000001,43.17490743997485
8000,1000,86.4517879,54.08707145055443
8000,1500,94.9187452,65.30077219336094
8000,2000,102.797136,76.77984667960735
8000,2500,113.1318823,90.69750476921156
8000,3000,122.08038309999999,106.31388593476782
